nr;id;debitorennummer;anrede;vorname;name;firma;strasse;plz;ort;bereich;telefon;mobil;email;typ;beschriftung;
1;13791;;Frau;Maria;Aarts;;;;;;;;aartsmaria@martemeo.com;Juhi_personen;;
2;14892;;Frau;Julia;Jankowski;;;;;;;01639778896;julia.jankowski@kreuznacherdiakonie.de;Juhi_personen;;
3;15282;;Frau;Sandra;Steiger-Hummel;;;;;;;01785366675;sonne1307@hotmail.de;Juhi_personen;;
4;15485;;Frau;Sabine;John;Haus der Sieben Brüder;Am Nesselberg 3;61389;Schmitten;;;;hunoldstal@jj-ev.de;Juhi_personen;;
5;15506;;Herr;Nadim;Natour;;;;;;;;nadigol@hotmail.com;Juhi_personen;;
6;11579;;;;;Kath. Kindergarten St. Hildegard;;;;;0619563326;;kita-st.hildegard@gmx.de;Kita_firmen;;
7;12049;;;;;Städt. Kindertagesstätte Wirbelwind;Eppsteiner Straße 9;61462;Königstein;;;;kita-eppsteinerstr@koenigstein.de;Kita_firmen;;
8;792;;Frau;Marie;Haberland;;;;;;;;;Juhi_personen;;
9;802;;Herr;Achim;Hainisch;;;;;;;;;Juhi_personen;;
10;12052;;;;;Ev. Kindergarten Falkenstein Villa Regenbogen;Nüringstr. 6;61462;Königstein;;;;villaregenbogen@t-online.de;Kita_firmen;;
11;12215;;;;;Städt. Kindertagesstätte Bommersheim Wirbelkiste;Im Himmrich 7;61440;Oberursel;;;;kita-wirbelkiste@oberursel.de;Kita_firmen;;
12;12238;;;;;Städt. Kindergarten Wernborn Pusteblume;Am Kindergarten 1;61250;Usingen;;;;kiga-pusteblume@usingen.de;Kita_firmen;;
13;12236;;;;;Städt. Kindergarten Tausendfüßler;Am Riedborn 47;61250;Usingen;;;;kiga-tausendfuessler@usingen.de;Kita_firmen;;
14;12239;;;;;Städt. Kindergarten Kransberger Schlossgespenster;Am See 4;61250;Usingen;;;;kiga-schlossgespenster@usingen.de;Kita_firmen;;
15;12240;;;;;Städt. Kindergarten Eschbach Tabaluga;Schulstr. 10;61250;Usingen;;;;kiga-tabaluga@usingen.de;Kita_firmen;;
16;12232;;;;;Ev. Kindergarten Regenbogen;Untergasse 29;61449;Steinbach;;;;kitaregenbogen@st-georgsgemeinde.de;Kita_firmen;;
17;12228;;;;;BZ an der Grundschule Am Eichwäldchen;Eichwäldchenweg 6;61440;Oberursel;;;;;Kita_firmen;;
18;12221;;;;;Städt. Kindertagesstätte Schatzinsel;Hammergarten 1;61440;Oberursel;;;;kita-schatzinsel@oberursel.de;Kita_firmen;;
19;12242;;;;;Städt. Familienzentrum  Hand in Hand;Löwenzahnweg 1;61250;Usingen;;;;eiskaut@usingen.de;Kita_firmen;;
20;12230;;;;;Städt. Kindertagesstätte Am Weiher;Wiesenau 15;61449;Steinbach;;;;kita@stadt-steinbach.de;Kita_firmen;;
21;12231;;;;;Städt. Kindertagesstätte Wiesenstrolche;Wiesenau 15;61449;Steinbach;;;;kita@stadt-steinbach.de;Kita_firmen;;
22;12243;;;;;Kindertagesstätte Große Lache;Anne-Frank-Str. 2;61273;Wehrheim;;;;kita.grosselache@wehrheim.de;Kita_firmen;;
23;12250;;;;;Gemeindekindergarten Riedelbach Sonnenschein;Langstr. 5;61276;Weilrod;;;;;Kita_firmen;;
24;12248;;;;;Waldkindergarten Pfaffenwiesbach Wichtelland;Kransberger Str. 31;61273;Wehrheim;;;;;Kita_firmen;;
25;12251;;;;;Gemeindekindergarten Gemünden Pfiffikus;Blumenweg 1;61276;Weilrod;;;;;Kita_firmen;;
26;12245;;;;;Kindertagesstätte Am Bügel;Egerländerstr. 2a;61273;Wehrheim;;;;kita.buegel@wehrheim.de;Kita_firmen;;
27;12244;;;;;Kindertagesstätte Wiesenau;Goethestr. 7;61273;Wehrheim;;;;kita.wiesenau@wehrheim.de;Kita_firmen;;
28;12246;;;;;Kindertagesstätte Obernhain Kleine Strolche;Stellweg 2;61273;Wehrheim;;;;kita.oberhain@wehrheim.de;Kita_firmen;;
29;11598;;Herr;Wolfgang;Rombey;;;;;;0241432-7408;;Dezernat4@mail.aachen.de;Juhi_personen;;
30;13251;;Frau;Angela;Bartel-Hepp;;;;;;;0Bad NauheimHessen;;Kita_personen;;
31;13090;;Frau;Dunja;Domroese;;;;;;060315736;;kita-regenbogen@friedberg-hessen.de;Kita_personen;;
32;14243;;Frau;K.;Lorenz;;;;;;;;lorenzmanfred1@t-online.de;Kita_personen;;
33;15340;;Frau;Astrid;Söder;;;;;;;;;Kita_personen;;
34;12614;;Frau;Olga;Haldt;;;;;;;;panama@buseck.de;Kita_personen;;
35;792;;Frau;Marie;Haberland;;;;;;;;;Unternehmengruppe;;
36;10426;;Frau;Susanne;Riegelmann;;;;;;06003810480;015221929146;susanne.riegelmann@gmx.de;Kita_personen;;
37;28;;Herr;Thomas;Witte;;;;;;;;;Unternehmengruppe;;
38;3478;;;;;Kinder- und Jugendheim Jena;;07745;Jena;;;;k.rackwitz.tt@twsd.de;Juhi_firmen;;
39;3498;;;;;HKJ GmbH;Unterkatzer Str. 52;98634;Oberkatz;;;;;Juhi_firmen;;
40;3504;;;;;Albert-Schweitzer-Kinderdorf e. V.;Unter dem Berge 6;99097;Erfurt;;;;thueringen@albert-schweitzer.de;Juhi_firmen;;
41;3815;;;;;Freie Schule Marburg;Anne-Frank-Straße 2;35037;Marburg;;0642135905;;;Schule_firmen;;
42;3815;;;;;Freie Schule Marburg;Anne-Frank-Straße 2;35037;Marburg;;0642135905;;;Juhi_firmen;;
43;6546;;;;;Sozialdienst katholischer Frauen e.V., Ortsverein Frankfurt;Kriegkstraße 36;60326;Frankfurt;;069973823-0;;monikahaus@skf-frankfurt.de;Juhi_firmen;;
44;5806;;;;;Monikahaus;Kriegkstraße 36;60326;Frankfurt;;;;monikahaus@skf-frankfurt.de;Juhi_firmen;;
45;6034;;;;;Kinderarche Sachsen e. V. Wohngruppe;Augustusweg 62;01445;Radebeul;;;;info@kinderarche-sachsen.de;Juhi_firmen;;
46;6035;;;;;Kinderarche Sachsen e. V. Haus Kleeblatt;Garnisonplatz 12;01917;Kamez;;03578307991;;hauskleeblatt@kinderarche-sachsen.de;Juhi_firmen;;
47;6036;;;;;Louisenstift gGmbH;Kamenzer Str. 38;01936;Königsbrück;;03579531557;;info@louisenstift.de;Juhi_firmen;;
